epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11996.6,0.61957,0.71712,1,0.58387,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327,0.0099981,0.0033327
2,17920.8,0.58354,0.72414,1,0.56582,0.0196021,0.00653405,0.0196021,0.00653405,0.0196021,0.00653405,0.0196021,0.00653405
3,22263.3,0.5438,0.72177,1,0.60279,0.0288102,0.00960339,0.0288102,0.00960339,0.0288102,0.00960339,0.0288102,0.00960339
4,26180.8,0.53493,0.74476,1,0.55393,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,30094.1,0.51825,0.73515,1,0.56411,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,34019,0.50706,0.75275,1,0.54787,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,37941.6,0.49678,0.75513,1,0.55347,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,41878.3,0.48768,0.75567,1,0.53639,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,45830.4,0.47907,0.75221,1,0.53515,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,49784.8,0.47411,0.75254,1,0.53255,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,53744,0.47174,0.75794,1,0.51143,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,57699.5,0.46502,0.76171,1,0.53612,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,61624,0.46056,0.76517,1,0.52266,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,65558.1,0.45828,0.76765,1,0.51925,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,69474.5,0.45464,0.76776,1,0.52357,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,73394,0.45245,0.76841,1,0.52397,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,77311.7,0.44924,0.76819,1,0.53252,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,81243.5,0.44579,0.76765,1,0.53174,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,85165.8,0.44124,0.7683,1,0.53108,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,89105.6,0.43641,0.77014,1,0.53086,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,93031.2,0.43837,0.77111,1,0.53009,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,96970.4,0.43239,0.77078,1,0.53249,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,100911,0.43118,0.77068,1,0.53403,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,104854,0.42836,0.77154,1,0.53522,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,108788,0.42752,0.77165,1,0.53724,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,112739,0.42402,0.7724,1,0.53738,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,116660,0.41878,0.77359,1,0.53786,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,120598,0.41793,0.77327,1,0.53883,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,124544,0.41109,0.77359,1,0.53968,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,128476,0.41403,0.77413,1,0.54034,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,132391,0.4086,0.77402,1,0.54106,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,136307,0.40738,0.77445,1,0.54163,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,140229,0.4033,0.77381,1,0.54211,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,144154,0.4018,0.77456,1,0.54217,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
